"filename", "language", "HTML", "YAML", "Dart", "JSON", "Markdown", "C#", "XML", "comment", "blank", "total"
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_backend\API\Controllers\CoffeeController.cs", "C#", 0, 0, 0, 0, 0, 42, 0, 0, 10, 52
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_backend\API\Controllers\WeatherForecastController.cs", "C#", 0, 0, 0, 0, 0, 29, 0, 0, 5, 34
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_backend\Application\Helpers\ChangeHelper.cs", "C#", 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_backend\Application\Interfaces\IChangeHelper.cs", "C#", 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_backend\Application\Interfaces\ICoffeeManager.cs", "C#", 0, 0, 0, 0, 0, 7, 0, 0, 3, 10
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_backend\Application\Managers\CoffeeManager.cs", "C#", 0, 0, 0, 0, 0, 42, 0, 0, 13, 55
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_backend\Domain\Models\Change.cs", "C#", 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_backend\Domain\Models\CoffeeType.cs", "C#", 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_backend\Domain\Models\Payment.cs", "C#", 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_backend\Domain\Models\PurchaseRequest.cs", "C#", 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_backend\Program.cs", "C#", 0, 0, 0, 0, 0, 19, 0, 3, 11, 33
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_backend\Properties\launchSettings.json", "JSON", 0, 0, 0, 41, 0, 0, 0, 0, 1, 42
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_backend\WeatherForecast.cs", "C#", 0, 0, 0, 0, 0, 10, 0, 0, 4, 14
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_backend\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_backend\appsettings.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_backend\coffee_machine_backend.csproj", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 4, 14
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_frontend\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 7, 17
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_frontend\analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_frontend\lib\constants.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_frontend\lib\main.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_frontend\lib\models\change.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_frontend\lib\models\coffee.dart", "Dart", 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_frontend\lib\models\payment.dart", "Dart", 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_frontend\lib\services\coffee_service.dart", "Dart", 0, 0, 39, 0, 0, 0, 0, 0, 7, 46
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_frontend\lib\views\home_view.dart", "Dart", 0, 0, 43, 0, 0, 0, 0, 0, 7, 50
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_frontend\lib\widgets\coffee_tile.dart", "Dart", 0, 0, 38, 0, 0, 0, 0, 0, 4, 42
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_frontend\pubspec.yaml", "YAML", 0, 17, 0, 0, 0, 0, 0, 60, 15, 92
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_frontend\test\widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 10, 7, 31
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_frontend\web\index.html", "HTML", 19, 0, 0, 0, 0, 0, 0, 15, 5, 39
"c:\Users\sebas\OneDrive\Escritorio\coffee_machine-ci_0126\coffee_machine_frontend\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"Total", "-", 19, 20, 202, 93, 10, 201, 10, 110, 133, 798
